ID	CellType
Lockd	ENSMUSG00000098318	Dividing_cell
Lpl	ENSMUSG00000015568	Macrophage
Lrat	ENSMUSG00000028003	HSC
Lsp1	ENSMUSG00000018819	Dendritic_cell
Lst1	ENSMUSG00000073412	Macrophage
Ltb	ENSMUSG00000024399	T_cell
Lum	ENSMUSG00000036446	HSC
Lurap1l	ENSMUSG00000048706	Cholangiocyte
Ly6d	ENSMUSG00000034634	B_cell
Ly86	ENSMUSG00000021423	Macrophage
Lyz2	ENSMUSG00000069516	Macrophage
Maf	ENSMUSG00000055435	Endothelial_cell
Mafb	ENSMUSG00000074622	Macrophage
Manf	ENSMUSG00000032575	Plasma_B_cell
Mef2c	ENSMUSG00000005583	B_cell
Mgst1	ENSMUSG00000008540	Hepatocyte
Mki67	ENSMUSG00000031004	Dividing_cell
Mpeg1	ENSMUSG00000046805	Macrophage
Ms4a1	ENSMUSG00000024673	B_cell
Ms4a4b	ENSMUSG00000056290	T_cell
Ms4a6c	ENSMUSG00000079419	Macrophage
Mup20	ENSMUSG00000078672	Hepatocyte
Mup3	ENSMUSG00000066154	Hepatocyte
Mzb1	ENSMUSG00000024353	Plasma_B_cell
Naaa	ENSMUSG00000029413	Dendritic_cell
Napsa	ENSMUSG00000002204	Dendritic_cell
Nkg7	ENSMUSG00000004612	T_cell
Nrp1	ENSMUSG00000025810	Endothelial_cell
Nucks1	ENSMUSG00000026434	Dividing_cell
Nusap1	ENSMUSG00000027306	Dividing_cell
Oit3	ENSMUSG00000009654	Endothelial_cell
Onecut2	ENSMUSG00000045991	Cholangiocyte
Pam	ENSMUSG00000026335	HSC
Pax5	ENSMUSG00000014030	B_cell
Pdia4	ENSMUSG00000025823	Plasma_B_cell
Pdzk1ip1	ENSMUSG00000028716	Cholangiocyte
Phyh	ENSMUSG00000026664	Hepatocyte
Pigr	ENSMUSG00000026417	Cholangiocyte
Plac8	ENSMUSG00000029322	Dendritic_cell
Plbd1	ENSMUSG00000030214	Dendritic_cell
Pld4	ENSMUSG00000052160	Dendritic_cell
Plpp3	ENSMUSG00000028517	Endothelial_cell
Pou2f2	ENSMUSG00000008496	B_cell
Ppfia4	ENSMUSG00000026458	Dendritic_cell
Ppt1	ENSMUSG00000028657	Dendritic_cell
Prc1	ENSMUSG00000038943	Dividing_cell
Prelp	ENSMUSG00000041577	HSC
Ptpn22	ENSMUSG00000027843	T_cell
Ptprb	ENSMUSG00000020154	Endothelial_cell
Ptprcap	ENSMUSG00000045826	T_cell
Pycard	ENSMUSG00000030793	Plasma_B_cell
Rac2	ENSMUSG00000033220	T_cell
Ralgps2	ENSMUSG00000026594	B_cell
Rarres2	ENSMUSG00000009281	HSC
Rbp1	ENSMUSG00000046402	HSC
Rbp4	ENSMUSG00000024990	Hepatocyte
Reln	ENSMUSG00000042453	HSC
Rexo2	ENSMUSG00000032026	Plasma_B_cell
Rgn	ENSMUSG00000023070	Hepatocyte
Rgs5	ENSMUSG00000026678	HSC
Rnase6	ENSMUSG00000021880	Dendritic_cell
Rrm2	ENSMUSG00000020649	Dividing_cell
S100a4	ENSMUSG00000001020	Dendritic_cell
Sat1	ENSMUSG00000025283	Macrophage
Scara3	ENSMUSG00000034463	Cholangiocyte
Scd1	ENSMUSG00000037071	Hepatocyte
Scp2	ENSMUSG00000028603	Hepatocyte
Sdc3	ENSMUSG00000025743	Macrophage
Sdf2l1	ENSMUSG00000022769	Plasma_B_cell
Sec11c	ENSMUSG00000024516	Plasma_B_cell
Sec61b	ENSMUSG00000053317	Plasma_B_cell
Sell	ENSMUSG00000026581	B_cell
Selplg	ENSMUSG00000048163	Dendritic_cell
Sepp1	ENSMUSG00000064373	Endothelial_cell
Serp1	ENSMUSG00000027808	Plasma_B_cell
Serpina1a	ENSMUSG00000066366	Hepatocyte
Serpina1b	ENSMUSG00000071178	Hepatocyte
Serpina1c	ENSMUSG00000079015	Hepatocyte
Serpina1e	ENSMUSG00000072849	Hepatocyte
Serping1	ENSMUSG00000023224	HSC
Siglecg	ENSMUSG00000030468	B_cell
Siglech	ENSMUSG00000051504	Dendritic_cell
Skap1	ENSMUSG00000057058	T_cell
Slpi	ENSMUSG00000017002	Plasma_B_cell
Smc2	ENSMUSG00000028312	Dividing_cell
Smc4	ENSMUSG00000034349	Dividing_cell
Sod3	ENSMUSG00000072941	HSC
Sorbs2	ENSMUSG00000031626	Cholangiocyte
Sox9	ENSMUSG00000000567	Cholangiocyte
Sparc	ENSMUSG00000018593	Endothelial_cell
Spp1	ENSMUSG00000029304	Cholangiocyte
Ssr4	ENSMUSG00000002014	Plasma_B_cell
Stab2	ENSMUSG00000035459	Endothelial_cell
Steap4	ENSMUSG00000012428	HSC
Stk17b	ENSMUSG00000026094	B_cell
Stmn1	ENSMUSG00000028832	Dividing_cell
Syk	ENSMUSG00000021457	B_cell
Syngr2	ENSMUSG00000048277	Dendritic_cell
Tagln	ENSMUSG00000032085	HSC
Tgfbi	ENSMUSG00000035493	HSC
Thy1	ENSMUSG00000032011	T_cell
Timp2	ENSMUSG00000017466	HSC
Timp3	ENSMUSG00000020044	Endothelial_cell
Tinagl1	ENSMUSG00000028776	Endothelial_cell
Tm4sf1	ENSMUSG00000027800	Endothelial_cell
Tm4sf4	ENSMUSG00000027801	Cholangiocyte
Tmem56	ENSMUSG00000028132	HSC
Tmpo	ENSMUSG00000019961	Dividing_cell
Tmsb10	ENSMUSG00000079523	T_cell
Top2a	ENSMUSG00000020914	Dividing_cell
Trbc2	ENSMUSG00000076498	T_cell
Trem2	ENSMUSG00000023992	Macrophage
Trf	ENSMUSG00000032554	Hepatocyte
Trp53inp1	ENSMUSG00000028211	Plasma_B_cell
Tspan13	ENSMUSG00000020577	Plasma_B_cell
Tspan7	ENSMUSG00000058254	Endothelial_cell
Tspan8	ENSMUSG00000034127	Cholangiocyte
Tstd1	ENSMUSG00000103711	Cholangiocyte
Ttc36	ENSMUSG00000039438	Hepatocyte
Ttr	ENSMUSG00000061808	Cholangiocyte,Hepatocyte
Tuba1b	ENSMUSG00000023004	Dividing_cell
Tubb5	ENSMUSG00000001525	Dividing_cell
Txk	ENSMUSG00000054892	T_cell
Txndc11	ENSMUSG00000022498	Plasma_B_cell
Txndc5	ENSMUSG00000038991	Plasma_B_cell
Tyrobp	ENSMUSG00000030579	Dendritic_cell,Macrophage
Ube2c	ENSMUSG00000001403	Dividing_cell
Ube2s	ENSMUSG00000060860	Dividing_cell
Vpreb3	ENSMUSG00000000903	B_cell
Vsig4	ENSMUSG00000044206	Macrophage
Wdfy4	ENSMUSG00000051506	Dendritic_cell
Wfdc17	ENSMUSG00000069792	Macrophage
Wfdc21	ENSMUSG00000051748	Hepatocyte
Xbp1	ENSMUSG00000020484	Plasma_B_cell
Xcl1	ENSMUSG00000026573	T_cell
